"id","sex","major","haveCat","haveDog","heightCM","yearsInUni","extraversion","optimism","gratitude","foodPreference","spicyTolerance","ladderRank","fomo","conflictAvoidance","happiness","stress","tiktokLiking","chatgptLiking","memeKnowledge","cognitiveAbility"
22,"F","PSYC","No","No",169,1,3,5,4,"Connexion",2,5,3,6,4,3,4,4,4,4
23,"M","PSYC","No","No",169,4,5,4,3,"Connexion",3,6,5,4,5,5,3,3,3,4
24,"F","PSYC","No","No",159,3,3,4,4,"Koufu",3,6,3,5,5,4,3,4,3,4
25,"F","POSC","No","Yes",168,3,4,4,4,"Koufu",3,4,4,5,4,5,5,4,5,5
26,"M","PSYC","Yes","No",176,4,4,4,4,"Funan",5,6,4,3,5,4,4,4,4,5
27,"M","POSC","Yes","No",178,4,6,5,3,"Connexion",4,7,5,3,5,5,4,5,4,4
28,"F","SOCG","No","Yes",145,3,3,4,4,"Funan",5,4,4,4,3,3,4,3,4,5
29,"M","PSYC","Yes","No",184,1,4,6,3,"Koufu",4,7,5,4,5,3,3,4,4,4
30,"M","SOCG","No","No",179,4,5,5,3,"Funan",5,6,4,2,5,4,3,4,3,4
31,"F","PSYC","Yes","No",166,2,3,4,5,"Funan",6,5,3,3,4,4,3,5,3,2
32,"M","POSC","Yes","No",179,2,4,5,3,"Connexion",3,6,4,4,4,4,3,3,4,5
33,"M","PSYC","No","No",180,1,4,6,2,"Koufu",4,8,7,4,4,3,5,6,5,3
34,"F","PSYC","No","No",165,2,3,5,5,"Koufu",2,6,4,6,4,3,3,3,3,4
35,"F","SOCG","No","No",156,2,3,4,5,"Connexion",3,5,3,5,5,4,5,4,5,5
36,"M","PSYC","No","No",175,3,5,4,3,"Funan",5,6,5,3,5,4,4,5,4,3
37,"F","POSC","No","No",163,3,4,4,6,"Funan",5,4,3,4,4,3,4,4,4,5
38,"F","PSYC","Yes","No",177,4,4,3,5,"Connexion",2,5,3,6,5,4,3,4,3,4
39,"M","PSYC","No","No",181,3,4,4,3,"Connexion",2,4,5,6,3,3,5,5,5,4
40,"M","PSYC","No","No",178,4,5,5,3,"Koufu",2,6,5,5,4,4,3,5,3,3
41,"F","PSYC","No","No",159,4,4,2,4,"Koufu",3,2,4,5,3,5,4,5,4,3
42,"F","PSYC","Yes","No",166,2,3,5,4,"Koufu",4,6,5,5,5,4,4,3,4,5
43,"F","PSYC","No","No",154,3,4,3,5,"Connexion",3,5,4,5,3,4,4,5,4,3
44,"M","SOCG","Yes","No",178,2,4,5,3,"Connexion",3,7,4,4,5,3,3,5,3,3
45,"M","PSYC","No","No",176,2,4,5,3,"Funan",4,6,5,4,5,4,4,6,4,2
46,"M","SOCG","No","No",168,2,5,5,4,"Connexion",3,4,4,4,4,3,3,4,3,3
47,"M","PSYC","No","No",175,1,4,7,5,"Koufu",3,7,5,4,6,3,4,4,4,4
48,"M","PSYC","No","No",178,4,5,4,3,"Funan",6,7,5,2,4,6,5,6,5,3
49,"F","POSC","Yes","No",166,5,4,2,4,"Connexion",4,5,3,4,4,5,3,2,3,6
50,"F","PSYC","No","Yes",153,3,4,2,5,"Koufu",2,3,3,5,3,3,3,2,3,5
51,"M","POSC","No","Yes",172,3,5,5,4,"Funan",4,5,4,3,5,3,4,5,4,4
52,"M","PSYC","No","No",176,3,5,6,4,"Connexion",3,7,4,4,6,4,4,5,4,4
53,"F","SOCG","Yes","No",157,2,3,4,5,"Connexion",4,5,3,4,4,4,4,2,4,6
54,"M","PSYC","No","Yes",184,3,5,4,4,"Funan",6,6,4,2,4,3,3,5,3,3
55,"M","SOCG","No","No",162,5,6,2,4,"Koufu",4,4,3,3,3,5,4,3,4,5
56,"M","PSYC","No","Yes",175,3,5,6,3,"Koufu",5,7,6,3,4,4,3,6,3,2
57,"M","PSYC","No","No",185,2,5,5,3,"Koufu",4,5,6,3,5,5,2,6,3,1
58,"M","POSC","No","Yes",170,2,5,4,5,"Funan",4,5,4,3,4,5,3,3,4,4
59,"F","SOCG","No","Yes",163,2,4,4,4,"Koufu",4,5,4,3,4,4,3,4,3,3
60,"M","PSYC","No","No",170,1,4,6,4,"Connexion",4,7,5,4,5,3,3,4,3,3
61,"M","PSYC","No","No",164,5,5,2,4,"Connexion",4,4,4,3,3,6,5,5,5,4
62,"F","POSC","No","No",162,4,4,3,5,"Funan",4,4,3,4,5,5,3,5,3,3
63,"M","POSC","No","No",180,5,6,3,3,"Funan",4,4,5,3,3,5,4,5,5,5
64,"M","SOCG","Yes","No",176,4,4,5,4,"Funan",3,7,4,5,5,4,4,5,4,4
65,"F","POSC","Yes","Yes",159,1,4,5,5,"Funan",5,7,4,4,6,4,4,4,4,4
66,"F","PSYC","Yes","No",162,2,3,5,6,"Koufu",3,6,2,5,6,4,3,2,3,5
67,"F","PSYC","Yes","No",165,3,3,4,4,"Connexion",3,4,5,4,4,4,5,4,5,5
68,"M","POSC","No","No",167,3,4,6,2,"Koufu",4,8,5,4,5,4,4,4,4,5
69,"M","PSYC","Yes","Yes",174,4,5,3,4,"Koufu",3,5,4,4,4,5,3,4,3,3
70,"F","PSYC","Yes","No",179,1,3,5,4,"Connexion",4,5,4,4,5,4,3,4,3,3
71,"F","PSYC","Yes","No",169,1,2,4,5,"Connexion",3,5,4,5,5,3,4,2,4,5
72,"F","SOCG","No","Yes",149,4,3,3,6,"Funan",4,3,3,4,4,4,2,4,2,3
73,"M","PSYC","No","No",175,3,5,5,4,"Connexion",3,6,4,4,5,4,4,4,4,4
74,"M","POSC","Yes","No",167,5,4,4,3,"Koufu",3,7,5,4,5,5,4,5,5,5
75,"F","PSYC","Yes","No",162,1,3,4,4,"Koufu",3,5,3,5,4,3,4,2,4,5
76,"F","SOCG","No","No",171,3,4,4,5,"Connexion",3,4,2,5,5,3,1,3,1,3
77,"F","PSYC","No","No",167,2,4,4,6,"Funan",5,6,2,3,5,3,2,3,2,4
78,"F","POSC","No","No",152,3,4,5,6,"Connexion",3,5,3,4,4,2,4,3,4,6
79,"M","POSC","Yes","Yes",172,5,7,2,3,"Funan",6,3,5,1,3,6,4,5,5,4
80,"M","POSC","No","No",186,2,5,6,4,"Koufu",4,6,3,4,5,3,2,4,3,4
81,"F","PSYC","No","No",171,2,3,5,4,"Connexion",3,7,4,5,5,3,3,3,3,5
82,"M","POSC","No","No",170,3,5,5,3,"Koufu",3,8,4,4,5,3,4,2,4,6
83,"M","PSYC","No","Yes",175,4,5,5,4,"Koufu",4,5,5,4,4,6,3,5,3,2
84,"F","SOCG","No","Yes",171,1,3,5,5,"Funan",5,5,3,4,5,2,3,2,3,5
85,"M","SOCG","No","No",167,5,6,3,3,"Connexion",4,4,4,3,3,6,4,4,4,4
86,"F","POSC","No","No",172,4,5,3,4,"Connexion",4,4,4,3,3,5,3,4,4,4
87,"F","PSYC","No","No",159,5,4,2,4,"Connexion",3,4,5,5,3,6,2,6,3,2
88,"F","SOCG","Yes","No",159,2,2,5,5,"Koufu",3,6,4,5,5,4,5,3,5,6
89,"F","SOCG","Yes","No",165,4,4,3,5,"Funan",4,4,3,4,4,3,4,2,4,7
90,"F","PSYC","No","No",169,2,3,4,5,"Koufu",4,4,1,4,5,3,3,2,3,5
91,"M","POSC","No","No",169,4,5,4,3,"Connexion",3,6,5,5,4,5,4,6,5,3
92,"M","PSYC","Yes","No",177,2,5,4,4,"Connexion",3,6,3,4,4,3,3,4,3,4
93,"M","PSYC","No","Yes",175,1,4,5,3,"Connexion",3,7,4,4,5,3,3,4,3,3
94,"F","PSYC","No","No",166,3,4,3,4,"Koufu",3,4,3,5,3,4,4,2,4,6
95,"M","PSYC","No","No",185,3,5,4,4,"Koufu",2,6,4,4,5,4,3,3,3,4
96,"M","PSYC","Yes","No",179,2,4,5,3,"Connexion",3,7,4,4,4,4,4,3,4,5
97,"M","POSC","No","Yes",178,1,5,6,3,"Funan",6,8,4,2,6,2,3,4,3,4
98,"F","PSYC","Yes","No",159,3,3,3,5,"Koufu",3,5,3,5,5,5,3,3,3,4
99,"F","POSC","Yes","No",166,3,4,3,5,"Connexion",3,4,3,5,4,5,3,2,3,4
100,"M","PSYC","No","No",176,1,4,6,3,"Koufu",4,8,5,4,5,3,4,6,4,2
101,"F","PSYC","No","No",168,1,3,4,5,"Connexion",2,5,4,6,4,2,5,4,5,5
102,"F","POSC","No","No",154,3,3,3,4,"Connexion",4,4,5,5,3,5,5,7,5,2
103,"M","POSC","No","No",172,3,5,5,5,"Funan",4,7,4,3,5,3,3,4,3,4
104,"F","POSC","No","Yes",160,4,5,3,6,"Funan",5,4,3,3,4,5,3,4,3,3
105,"F","PSYC","No","No",162,1,3,4,5,"Koufu",3,7,3,5,4,2,3,4,3,4
106,"M","PSYC","Yes","No",177,2,4,4,3,"Koufu",5,5,5,4,5,5,5,4,5,4
107,"M","SOCG","Yes","No",175,4,5,3,5,"Connexion",2,5,3,5,5,4,3,3,3,5
108,"M","SOCG","No","No",174,3,5,6,5,"Funan",6,8,4,1,6,3,4,4,4,5
109,"F","PSYC","No","No",164,2,3,4,6,"Connexion",3,5,4,5,5,3,3,3,3,4
110,"M","SOCG","No","No",171,1,4,6,3,"Connexion",3,9,4,4,5,3,4,3,4,5
111,"M","SOCG","No","No",168,5,5,3,4,"Koufu",4,5,4,3,3,5,5,4,5,6
112,"F","PSYC","No","No",160,2,3,3,4,"Connexion",2,4,5,5,3,3,5,5,5,4
113,"F","SOCG","Yes","Yes",159,2,4,4,5,"Funan",5,6,4,2,5,4,5,3,5,5
114,"F","SOCG","Yes","No",157,2,3,6,5,"Koufu",3,7,4,4,6,3,4,3,4,5
115,"M","POSC","No","No",183,5,6,3,3,"Funan",6,5,5,1,4,5,5,4,5,6
116,"M","PSYC","Yes","No",182,3,5,4,4,"Koufu",3,6,4,4,4,5,4,5,4,3
117,"M","PSYC","Yes","Yes",184,2,5,6,4,"Funan",5,7,5,3,6,3,3,3,4,5
118,"F","SOCG","Yes","No",171,2,3,5,4,"Funan",4,5,5,4,4,3,4,5,4,3
119,"F","SOCG","No","No",152,1,2,5,5,"Funan",4,5,2,4,5,2,4,3,4,5
120,"F","POSC","No","No",171,2,3,5,5,"Funan",5,6,3,4,6,2,4,5,4,4
121,"F","PSYC","Yes","No",174,2,4,3,5,"Connexion",4,4,4,4,4,3,4,5,4,3
122,"F","POSC","Yes","No",163,2,3,4,5,"Funan",5,4,3,4,5,3,4,4,4,4
123,"M","PSYC","Yes","No",177,4,4,3,5,"Funan",5,5,4,3,4,4,3,5,3,3
124,"M","SOCG","No","No",184,3,5,5,5,"Koufu",4,5,3,3,6,3,2,3,2,4
125,"F","SOCG","No","No",150,1,2,5,5,"Koufu",3,7,3,5,5,1,3,3,3,5
126,"F","PSYC","Yes","Yes",171,4,5,3,4,"Koufu",3,4,3,5,4,5,4,3,4,5
127,"F","PSYC","Yes","No",161,2,3,4,5,"Koufu",4,5,4,5,4,4,4,3,4,4
128,"F","SOCG","No","No",175,1,4,5,5,"Funan",4,5,4,4,6,4,5,5,5,3
129,"M","SOCG","No","No",175,3,6,5,3,"Koufu",5,6,4,1,5,4,3,2,3,5
130,"M","PSYC","No","No",162,2,4,6,4,"Koufu",3,7,4,5,5,2,4,5,4,4
131,"F","POSC","Yes","No",161,2,3,3,5,"Connexion",4,4,3,4,4,4,4,3,4,5
132,"F","POSC","Yes","No",156,1,2,5,5,"Connexion",3,4,4,5,4,3,4,5,4,3
133,"M","POSC","No","No",170,2,4,6,4,"Funan",4,6,3,4,5,3,4,4,4,4
134,"M","PSYC","No","No",176,3,5,4,4,"Connexion",4,6,4,3,4,3,3,4,3,4
135,"M","PSYC","No","No",180,2,5,5,2,"Koufu",3,5,6,4,5,4,4,6,4,2
136,"F","PSYC","Yes","Yes",163,3,4,2,5,"Funan",4,3,2,4,3,5,4,3,4,5
137,"M","PSYC","Yes","Yes",182,2,5,7,5,"Connexion",3,9,3,5,7,1,3,4,3,5
138,"M","PSYC","Yes","No",179,3,5,4,3,"Funan",4,5,4,4,4,5,4,4,4,4
139,"F","SOCG","No","No",176,2,4,5,6,"Connexion",4,5,2,3,5,3,3,4,3,3
140,"F","PSYC","No","No",165,4,4,2,5,"Koufu",4,5,4,4,4,4,4,5,4,4
141,"M","SOCG","No","No",178,2,4,6,4,"Connexion",4,7,3,3,5,1,4,4,4,5
142,"M","SOCG","No","No",180,3,5,4,4,"Koufu",4,5,4,4,4,3,4,6,4,3
143,"M","SOCG","No","Yes",177,2,5,6,4,"Funan",4,5,4,3,5,3,4,5,4,3
144,"F","PSYC","Yes","No",150,3,3,3,5,"Funan",5,3,4,4,3,5,3,4,3,3
145,"M","PSYC","Yes","No",173,3,4,5,3,"Connexion",3,5,5,4,5,4,4,5,4,3
146,"F","POSC","Yes","No",160,2,3,5,5,"Connexion",3,6,4,4,5,2,4,4,4,5
147,"F","POSC","No","Yes",159,2,3,4,5,"Funan",3,6,4,5,4,4,4,4,4,4
148,"M","PSYC","No","Yes",165,1,4,6,2,"Koufu",4,7,5,4,5,3,3,5,3,2
149,"F","PSYC","No","No",163,4,4,2,5,"Koufu",3,2,4,5,4,3,3,3,3,5
150,"M","POSC","No","No",158,3,5,4,3,"Koufu",3,5,4,4,3,5,4,3,5,5
151,"M","SOCG","No","No",163,2,4,7,4,"Koufu",3,7,3,4,5,3,5,3,5,6
152,"F","SOCG","Yes","Yes",154,2,4,4,5,"Koufu",5,5,4,3,5,3,3,3,3,4
153,"M","POSC","No","No",177,3,6,4,3,"Koufu",5,5,4,3,4,6,4,4,4,3
154,"M","POSC","No","No",172,5,6,3,4,"Connexion",3,4,3,3,3,5,3,4,3,4
155,"F","PSYC","Yes","No",151,4,3,2,5,"Koufu",3,3,3,4,3,5,3,2,3,5
156,"F","PSYC","No","No",164,3,3,3,4,"Koufu",2,5,3,5,4,3,4,3,4,5
157,"F","POSC","Yes","Yes",166,1,4,5,5,"Connexion",2,6,3,6,5,3,3,2,3,5
158,"F","PSYC","No","Yes",160,4,4,2,6,"Koufu",3,2,3,4,3,4,3,1,3,6
159,"M","POSC","No","Yes",180,1,5,7,4,"Koufu",3,9,4,4,6,3,4,4,4,4
160,"M","POSC","Yes","No",170,2,4,5,4,"Connexion",3,7,4,4,5,3,3,5,3,3
161,"F","PSYC","No","No",170,3,4,3,5,"Funan",5,4,3,3,5,5,3,4,3,3
162,"M","POSC","Yes","No",178,1,3,6,3,"Funan",3,6,5,5,6,3,3,5,3,2
163,"F","PSYC","No","No",164,2,3,3,5,"Funan",4,3,4,4,2,4,4,6,4,2
164,"M","POSC","No","Yes",178,1,5,5,3,"Koufu",3,6,5,4,5,3,4,2,4,5
165,"F","POSC","No","No",165,1,4,5,4,"Koufu",3,7,3,5,6,3,4,5,4,3
166,"M","POSC","No","No",175,5,6,3,3,"Connexion",4,5,5,3,3,5,3,4,4,5
167,"F","PSYC","No","Yes",158,3,4,4,5,"Koufu",4,4,3,5,4,4,3,2,3,5
168,"M","PSYC","Yes","Yes",177,5,7,4,4,"Koufu",4,4,4,3,4,4,3,4,3,4
169,"F","POSC","No","No",166,5,5,2,5,"Funan",6,4,3,2,4,4,3,4,3,4
170,"F","POSC","Yes","No",161,1,3,6,5,"Koufu",4,7,4,4,5,4,4,4,4,4
171,"M","POSC","No","No",176,1,4,6,4,"Funan",4,7,4,4,6,2,4,4,4,4
172,"M","PSYC","No","No",185,3,6,5,4,"Koufu",4,9,4,3,5,4,3,4,3,4
173,"F","PSYC","No","Yes",161,3,4,4,6,"Funan",4,4,4,5,3,4,3,4,3,3
174,"F","PSYC","No","No",152,2,3,4,4,"Connexion",3,5,5,6,4,5,4,5,4,3
175,"F","PSYC","No","Yes",159,3,4,4,5,"Koufu",3,4,3,5,4,4,3,3,3,4
176,"F","PSYC","No","No",157,4,4,2,5,"Connexion",4,3,4,4,3,5,4,4,4,4
177,"M","POSC","No","No",169,2,5,5,4,"Connexion",3,7,3,4,5,3,2,2,2,4
178,"F","POSC","No","Yes",168,2,4,4,5,"Koufu",3,5,4,5,4,4,3,5,3,2
179,"M","PSYC","No","Yes",178,4,6,4,4,"Koufu",5,6,5,3,5,5,4,5,4,3
180,"F","PSYC","No","Yes",160,3,4,4,5,"Funan",3,5,4,5,4,3,4,3,4,5
181,"M","PSYC","No","Yes",181,4,5,4,4,"Connexion",4,7,4,3,5,5,4,3,4,5
182,"M","PSYC","No","No",170,2,5,6,5,"Funan",5,7,3,2,7,3,3,5,3,3
183,"M","PSYC","No","No",176,4,5,3,4,"Connexion",4,5,5,3,4,5,4,6,4,3
184,"M","PSYC","No","No",179,3,5,3,4,"Koufu",3,5,4,4,4,5,4,4,4,4
185,"M","POSC","Yes","No",166,2,4,6,4,"Koufu",2,9,4,5,6,3,3,5,3,3
186,"M","SOCG","No","Yes",173,3,5,6,4,"Funan",4,9,4,3,5,4,5,5,5,5
187,"F","SOCG","No","No",154,1,3,4,6,"Funan",5,5,3,4,4,4,3,4,3,3
188,"F","PSYC","Yes","No",159,3,4,3,5,"Funan",5,6,3,4,5,5,2,3,2,3
189,"F","POSC","Yes","No",161,3,4,3,5,"Funan",4,3,4,4,4,5,5,4,5,5
190,"F","PSYC","Yes","No",164,2,3,4,5,"Connexion",4,4,2,5,4,2,3,1,3,6
191,"F","PSYC","No","Yes",159,3,4,4,5,"Funan",5,6,3,3,4,4,4,3,4,5
192,"F","SOCG","No","No",165,4,4,3,5,"Koufu",2,4,4,5,3,5,3,4,3,3
193,"M","SOCG","Yes","No",167,2,5,5,4,"Funan",5,7,3,2,5,3,3,2,3,5
194,"F","PSYC","No","No",164,4,5,3,6,"Connexion",3,4,3,4,4,5,3,3,3,4
195,"M","PSYC","No","No",172,4,6,6,4,"Funan",5,8,5,2,6,5,3,6,3,2
196,"F","POSC","No","Yes",167,4,5,3,5,"Funan",3,3,3,4,4,5,5,3,5,6
197,"M","POSC","Yes","No",164,1,3,6,4,"Connexion",4,8,3,4,6,2,2,4,3,4
198,"M","PSYC","Yes","No",172,2,4,5,4,"Koufu",3,5,4,4,4,4,4,4,4,4
199,"M","SOCG","No","Yes",177,2,5,5,3,"Koufu",4,6,4,2,5,2,4,4,4,5
200,"F","PSYC","No","No",164,3,4,3,4,"Connexion",3,5,4,4,3,4,3,4,3,4
201,"M","PSYC","No","No",172,3,5,4,3,"Koufu",4,5,5,4,3,5,3,6,3,1
202,"M","PSYC","Yes","No",180,2,5,6,4,"Connexion",3,7,4,4,6,3,2,4,2,3
203,"M","POSC","No","No",171,2,5,6,4,"Funan",4,8,4,4,5,3,2,3,2,4
204,"M","POSC","No","Yes",163,3,6,5,4,"Funan",5,8,4,2,5,4,4,4,4,4
205,"M","PSYC","Yes","No",171,2,5,6,2,"Connexion",3,7,6,5,5,3,3,5,3,3
206,"M","PSYC","No","No",176,2,5,5,4,"Funan",6,5,4,2,4,3,3,5,3,3
207,"F","PSYC","No","No",159,3,4,4,5,"Funan",4,3,2,4,3,3,4,3,3,5
208,"F","PSYC","Yes","No",157,5,5,2,4,"Koufu",3,2,5,4,2,4,3,4,3,4
209,"F","PSYC","No","No",157,4,4,3,6,"Connexion",4,5,3,5,5,5,2,4,2,2
210,"F","PSYC","No","No",166,2,4,4,4,"Koufu",3,5,4,4,3,3,5,4,5,5
211,"F","POSC","No","No",161,3,4,4,5,"Koufu",3,5,4,5,4,5,2,3,2,3
212,"M","SOCG","No","No",175,2,5,6,3,"Connexion",3,8,5,3,6,2,5,4,5,6
213,"M","SOCG","No","Yes",176,2,5,5,4,"Koufu",4,6,5,3,5,3,5,5,5,4
214,"F","POSC","Yes","No",155,4,4,2,5,"Funan",4,4,2,4,4,4,2,2,2,4
215,"F","PSYC","No","No",160,3,4,3,5,"Koufu",4,4,4,4,3,3,4,3,4,5
216,"F","POSC","Yes","No",169,4,4,3,5,"Funan",4,5,3,5,5,5,4,3,4,5
217,"F","SOCG","No","No",158,4,4,2,4,"Funan",5,3,4,2,3,5,4,4,4,4
218,"M","POSC","No","No",172,2,4,5,3,"Funan",4,5,5,4,4,2,5,5,5,5
219,"M","PSYC","No","Yes",171,2,4,5,4,"Koufu",4,6,4,4,5,3,3,4,3,4
220,"M","PSYC","No","No",174,1,5,5,3,"Koufu",3,6,3,4,4,4,3,4,3,3
221,"F","PSYC","No","No",161,2,3,4,4,"Funan",5,5,4,4,4,4,2,4,2,2
222,"M","PSYC","Yes","Yes",175,3,5,3,2,"Connexion",3,4,6,4,3,4,3,5,3,3
223,"F","POSC","No","Yes",169,2,4,4,4,"Funan",4,5,5,4,4,4,4,4,4,4
224,"F","PSYC","No","Yes",151,2,3,5,4,"Koufu",4,6,4,5,5,4,4,3,4,5
225,"M","POSC","Yes","No",164,2,4,5,4,"Funan",4,6,4,4,4,3,3,4,3,4
226,"F","PSYC","Yes","No",168,2,3,3,5,"Koufu",3,3,4,5,3,5,3,4,3,2
227,"F","POSC","No","Yes",156,3,4,3,5,"Koufu",3,4,4,6,3,4,4,4,4,4
228,"M","PSYC","No","Yes",181,2,6,6,4,"Connexion",4,8,3,2,6,2,1,3,1,3
229,"M","PSYC","No","No",172,3,4,5,3,"Funan",4,6,5,4,5,4,4,5,4,4
230,"F","SOCG","No","No",166,4,4,4,6,"Connexion",3,6,3,4,5,3,3,3,3,5
231,"F","PSYC","No","No",166,4,4,2,5,"Funan",5,3,4,3,3,5,1,4,1,2
232,"F","SOCG","No","No",159,3,4,3,5,"Funan",5,4,3,3,4,4,3,5,3,3
233,"M","POSC","Yes","Yes",171,3,5,4,3,"Koufu",3,4,5,4,4,4,3,5,4,3
234,"M","SOCG","Yes","No",179,4,5,3,3,"Connexion",4,5,4,3,4,5,4,4,4,4
235,"F","POSC","No","Yes",147,3,4,4,5,"Koufu",1,4,2,7,4,3,2,4,2,3
236,"F","PSYC","Yes","No",163,1,2,4,5,"Connexion",2,6,3,7,5,2,2,3,2,4
237,"F","SOCG","No","No",163,4,4,4,4,"Funan",5,5,3,3,4,4,3,3,3,5
238,"M","SOCG","No","No",169,3,5,6,4,"Connexion",4,7,4,2,6,3,4,4,4,5
239,"F","PSYC","No","No",155,2,3,4,5,"Connexion",3,5,4,5,4,3,5,3,5,6
240,"F","PSYC","No","No",168,2,3,4,5,"Connexion",5,5,3,4,5,4,5,4,5,5
241,"M","SOCG","No","No",169,2,4,5,4,"Connexion",3,6,4,4,4,3,4,5,4,4
242,"M","PSYC","No","Yes",172,2,5,5,3,"Funan",5,5,4,3,5,4,4,4,4,4
243,"F","POSC","No","No",160,3,3,4,5,"Koufu",2,6,3,6,5,5,3,4,3,3
244,"F","POSC","No","No",166,3,5,3,5,"Connexion",4,4,3,3,4,4,3,4,3,3
245,"F","PSYC","Yes","No",167,3,3,3,5,"Connexion",3,3,4,5,3,5,4,3,4,5
246,"F","PSYC","No","Yes",162,2,4,5,5,"Funan",5,5,4,3,5,4,3,4,3,3
247,"M","PSYC","Yes","No",184,2,5,5,4,"Connexion",4,6,3,3,5,3,4,4,4,4
248,"F","POSC","No","No",161,2,3,4,4,"Funan",4,4,4,5,3,3,4,4,4,4
249,"F","SOCG","Yes","No",159,2,2,4,4,"Connexion",3,4,4,6,4,5,3,4,4,3
250,"M","PSYC","No","No",179,2,4,6,4,"Koufu",4,6,5,3,5,3,3,5,3,3
251,"F","SOCG","Yes","No",167,2,4,5,5,"Funan",6,5,3,2,5,3,3,1,3,6
252,"F","SOCG","No","No",159,2,3,3,5,"Koufu",4,4,3,4,4,4,4,4,4,4
253,"M","PSYC","No","No",186,4,5,3,3,"Connexion",4,4,4,4,4,5,4,5,4,3
254,"F","PSYC","No","No",154,3,3,3,4,"Funan",4,4,4,4,3,5,4,4,4,4
255,"M","PSYC","No","No",169,2,4,5,5,"Connexion",3,8,4,5,5,3,3,3,3,5
256,"F","SOCG","No","No",150,4,3,3,5,"Connexion",2,3,3,6,3,4,3,2,3,6
257,"F","PSYC","No","Yes",165,1,4,5,4,"Koufu",4,7,4,4,5,3,3,5,3,2
258,"M","SOCG","Yes","Yes",171,1,4,7,4,"Koufu",4,8,4,3,7,2,4,2,4,6
259,"M","PSYC","No","No",168,3,5,5,3,"Funan",5,6,4,2,4,4,4,4,4,4
260,"M","PSYC","No","No",170,3,5,4,3,"Koufu",4,3,5,3,3,4,4,4,4,4
261,"M","SOCG","No","Yes",170,5,6,4,3,"Connexion",4,6,4,3,4,4,3,3,3,5
262,"M","PSYC","Yes","No",170,4,5,4,5,"Funan",4,6,3,4,6,5,4,4,4,4
263,"M","POSC","No","Yes",187,3,6,5,4,"Koufu",3,8,5,4,6,5,4,5,4,3
264,"M","PSYC","No","No",178,2,4,5,2,"Funan",4,7,6,4,4,4,5,5,5,4
265,"F","PSYC","No","No",164,3,4,3,5,"Connexion",3,5,3,5,4,3,3,3,3,5
266,"M","PSYC","No","Yes",182,3,5,4,4,"Koufu",2,6,4,5,4,4,2,4,3,3
267,"F","SOCG","No","No",165,1,3,5,6,"Koufu",3,6,4,5,4,1,4,3,3,5
268,"F","POSC","No","Yes",177,2,4,4,4,"Funan",3,5,4,5,3,4,3,4,3,3
269,"M","PSYC","No","Yes",178,5,7,4,4,"Connexion",4,5,3,3,4,4,4,3,4,6
270,"M","PSYC","No","No",170,3,5,4,3,"Koufu",4,5,3,3,5,3,3,3,3,5
271,"F","PSYC","No","No",154,2,3,4,3,"Connexion",3,4,5,5,3,5,4,4,4,3
272,"M","SOCG","No","No",173,2,4,5,4,"Koufu",4,7,3,4,6,2,2,4,2,3
