"PID","DAY","ANX1","ANX2","ANX3","ANX4","ANX5","ANX6","RUM1","RUM2","RUM3","LON1","LON2","LON3","LON4","LON5","LON6"
"DISS-3013",4,2,1,1,2,3,1,6,4,4,1,1,1,1,2,1
"DISS-3013",5,2,2,1,2,3,1,1,1,1,1,1,1,1,1,1
"DISS-3013",6,2,2,3,2,2,1,6,5,5,1,1,1,1,1,1
"DISS-3013",7,3,2,1,3,3,3,5,5,3,1,1,1,1,1,1
"DISS-3014",1,1,4,3,1,1,3,4,4,4,4,4,4,4,4,4
"DISS-3014",2,3,1,1,3,3,1,2,2,2,1,1,3,2,1,1
"DISS-3014",3,4,1,1,4,3,1,1,1,1,1,1,3,1,1,1
"DISS-3014",4,4,1,2,3,3,1,2,2,1,1,1,4,1,1,1
"DISS-3014",5,3,1,1,3,3,1,1,1,1,1,1,4,1,1,1
"DISS-3014",6,2,2,1,3,3,1,1,1,1,3,2,4,3,3,3
"DISS-3014",7,3,3,1,2,2,2,1,1,1,4,3,4,4,4,3
"DISS-3015",1,4,1,1,4,3,1,2,5,2,1,1,1,1,1,1
"DISS-3015",2,3,1,2,3,3,1,5,2,4,1,1,1,1,1,1
"DISS-3015",3,3,1,1,4,4,1,1,1,1,1,1,1,1,1,1
"DISS-3015",4,4,1,1,4,4,2,1,1,1,3,4,4,5,3,5
"DISS-3015",5,2,2,2,3,2,2,2,2,1,3,3,3,4,4,4
"DISS-3015",6,2,1,1,2,2,1,2,1,1,1,2,1,1,2,2
"DISS-3015",7,2,2,2,2,3,2,2,2,3,2,2,3,3,2,2
"DISS-3016",1,3,2,1,2,2,2,4,2,2,1,1,1,1,1,1
"DISS-3016",2,2,3,1,2,2,3,1,3,2,1,1,1,1,1,1
"DISS-3016",3,2,1,2,1,2,2,2,2,2,2,2,1,2,3,2
"DISS-3016",4,2,2,1,2,2,2,4,4,4,3,2,1,1,2,1
"DISS-3016",5,1,2,2,2,2,2,5,4,5,2,1,1,2,2,1
"DISS-3016",6,3,2,1,2,2,2,2,4,3,1,1,1,1,1,1
"DISS-3016",7,2,2,2,2,1,2,4,2,2,1,1,1,1,1,1
"DISS-3017",1,2,2,1,2,3,2,2,3,4,1,1,1,1,1,1
"DISS-3017",2,2,1,1,1,2,2,3,5,5,1,2,2,1,1,1
"DISS-3017",3,1,4,4,1,1,3,5,6,4,2,1,1,3,1,1
"DISS-3017",4,1,2,3,2,1,2,7,3,3,1,1,1,1,1,1
"DISS-3017",5,1,2,2,2,2,3,5,5,6,2,2,3,4,4,4
"DISS-3017",6,3,1,1,3,2,1,3,1,2,1,2,1,1,1,1
"DISS-3017",7,1,3,4,1,1,1,5,2,6,3,1,2,4,1,1
"DISS-3018",1,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2
"DISS-3018",2,2,1,1,2,2,2,3,3,3,2,2,2,2,2,2
"DISS-3018",3,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2
"DISS-3018",4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"DISS-3018",5,2,2,3,2,2,3,3,3,3,2,2,2,2,2,2
"DISS-3018",6,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2
"DISS-3018",7,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2
"DISS-3019",1,1,1,1,1,1,1,4,4,4,3,3,3,3,3,3
"DISS-3019",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISS-3019",3,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1
"DISS-3019",4,1,1,1,1,1,3,4,4,4,1,1,1,1,1,1
"DISS-3019",5,2,2,2,1,1,2,4,4,4,5,3,3,3,3,3
"DISS-3019",6,2,2,2,2,2,2,4,4,4,3,3,3,3,3,3
"DISS-3019",7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3020",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISS-3020",2,3,1,1,3,4,1,4,2,2,1,1,1,1,1,1
"DISS-3020",3,2,1,1,2,1,2,1,1,1,4,1,1,1,1,4
"DISS-3020",4,2,3,3,2,1,2,4,5,5,1,3,3,1,2,3
"DISS-3020",5,1,3,3,1,1,4,4,4,5,2,3,4,1,2,2
"DISS-3020",6,3,1,1,2,4,2,1,1,1,1,2,1,1,1,1
"DISS-3020",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISS-3021",1,3,2,2,3,3,1,1,1,1,2,2,2,2,1,2
"DISS-3021",2,3,1,1,3,3,1,1,1,1,3,2,2,2,1,2
"DISS-3021",3,3,1,2,3,3,1,3,3,3,2,1,1,1,1,1
"DISS-3021",4,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1
"DISS-3021",5,3,2,1,3,3,1,2,1,1,2,1,1,1,1,1
"DISS-3021",6,2,2,2,2,2,1,4,2,3,1,1,1,1,1,1
"DISS-3021",7,3,2,2,3,3,1,4,4,4,1,1,1,1,1,1
"DISS-3022",1,1,3,3,1,2,3,4,4,4,3,3,3,3,3,3
"DISS-3022",2,1,2,2,1,1,2,4,4,4,2,2,2,2,2,2
"DISS-3022",3,2,2,2,2,2,2,4,4,4,3,3,3,3,3,3
"DISS-3022",4,1,2,2,1,1,2,4,4,4,3,2,3,3,3,2
"DISS-3022",5,1,2,2,1,1,2,4,4,4,3,3,3,3,1,1
"DISS-3022",6,1,2,2,1,1,2,3,3,3,2,2,2,2,2,2
"DISS-3022",7,1,2,2,1,1,2,4,4,4,2,2,2,2,2,2
"DISS-3023",1,4,1,1,4,4,1,1,1,1,1,1,1,1,1,1
"DISS-3023",2,4,1,1,4,4,1,1,1,1,2,1,1,1,1,1
"DISS-3023",3,1,4,4,1,1,4,7,1,3,5,5,1,1,1,1
"DISS-3023",4,4,1,1,4,4,1,1,1,1,1,1,1,1,1,1
"DISS-3023",5,4,1,1,4,4,1,1,1,1,1,1,1,1,1,1
"DISS-3023",6,4,1,1,4,4,1,1,1,1,1,1,1,1,1,1
"DISS-3023",7,4,1,1,4,4,1,1,1,1,1,1,1,1,1,1
"DISS-3024",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISS-3024",2,2,1,3,2,2,1,5,5,2,4,4,3,4,4,5
"DISS-3024",3,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1
"DISS-3024",4,4,1,1,4,3,1,2,2,2,1,1,1,3,3,3
"DISS-3024",5,1,1,1,1,4,1,6,6,4,1,1,1,1,1,1
"DISS-3024",6,3,1,1,2,4,2,5,1,1,1,1,1,1,1,1
"DISS-3024",7,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1
"DISS-3025",1,3,3,3,3,3,3,7,7,7,3,3,3,3,3,3
"DISS-3025",2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1
"DISS-3025",3,2,2,2,3,1,3,2,2,2,3,3,3,1,1,1
"DISS-3025",4,3,1,1,4,3,3,1,1,1,1,1,1,1,1,1
"DISS-3025",5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3025",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISS-3025",7,2,2,2,2,2,2,4,4,4,2,3,1,1,1,1
"DISS-3026",1,2,1,2,3,3,3,4,5,5,1,1,1,2,1,1
"DISS-3026",2,3,2,2,3,2,3,4,5,4,1,1,1,3,1,1
"DISS-3026",3,3,1,1,3,3,2,1,1,1,1,1,1,1,1,1
"DISS-3026",4,4,1,1,3,4,2,2,5,4,1,1,1,1,1,1
"DISS-3026",5,3,3,3,3,3,2,5,2,2,3,3,1,1,1,1
"DISS-3026",6,3,2,1,3,4,2,5,6,3,1,1,1,1,1,1
"DISS-3026",7,2,1,2,3,2,2,1,1,1,1,1,1,1,1,1
"DISS-3027",1,3,2,1,3,2,2,4,4,3,1,1,1,1,1,1
"DISS-3027",2,1,2,2,1,1,1,4,4,3,2,2,2,2,1,1
"DISS-3027",3,2,1,1,2,2,1,4,4,4,1,1,1,1,1,1
"DISS-3027",4,3,2,2,2,2,2,3,3,3,1,1,1,1,1,1
"DISS-3027",5,2,1,2,1,2,2,3,3,3,2,2,2,2,2,2
"DISS-3027",6,2,2,2,2,2,2,4,4,3,2,2,2,2,1,1
"DISS-3027",7,3,1,1,2,2,1,4,4,3,1,2,2,2,1,1
"DISS-3028",1,4,1,1,3,4,1,1,1,1,1,1,1,1,1,1
"DISS-3028",2,4,2,1,4,2,1,2,1,1,1,1,1,1,1,1
"DISS-3028",3,3,3,2,2,4,3,1,1,1,1,1,1,1,1,1
"DISS-3028",4,1,3,2,1,1,2,5,1,2,2,1,2,1,1,1
"DISS-3028",5,1,1,2,2,2,1,5,2,3,2,2,2,3,1,2
"DISS-3028",6,4,1,1,3,2,1,1,1,1,1,1,1,1,1,1
"DISS-3028",7,2,3,3,1,1,1,5,4,4,3,5,3,2,4,4
"DISS-3029",1,1,2,3,1,1,3,4,3,3,2,1,1,1,1,1
"DISS-3029",2,3,1,1,3,4,1,3,3,2,1,1,1,1,1,1
"DISS-3029",3,3,1,1,4,4,2,4,4,2,1,1,1,1,1,1
"DISS-3029",4,2,1,1,2,2,1,5,5,5,2,2,2,4,1,3
"DISS-3029",5,4,1,1,4,4,1,2,1,2,1,1,1,1,1,1
"DISS-3029",6,3,1,1,4,4,2,3,3,2,1,1,1,1,1,1
"DISS-3029",7,2,1,3,2,2,3,5,5,5,1,2,2,2,2,2
"DISS-3030",1,1,3,1,1,2,4,1,1,1,3,1,1,2,1,1
"DISS-3030",2,2,2,1,1,2,2,1,1,1,2,3,3,3,2,2
"DISS-3030",3,1,3,2,1,2,3,7,7,7,5,4,4,2,5,5
"DISS-3030",4,2,2,1,2,3,1,5,3,2,2,2,2,3,2,2
"DISS-3030",5,2,1,1,2,2,3,2,2,1,2,1,2,2,1,1
"DISS-3030",6,3,1,1,3,3,1,1,1,1,1,2,1,2,1,1
"DISS-3030",7,4,1,1,4,4,1,1,1,1,1,1,1,1,1,1
"DISS-3031",1,1,4,4,1,1,2,4,4,4,2,2,2,2,2,2
"DISS-3031",2,2,2,1,2,2,2,4,4,4,2,2,2,2,2,2
"DISS-3031",3,2,2,1,2,2,1,4,4,4,1,1,1,1,1,1
"DISS-3031",4,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2
"DISS-3031",5,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2
"DISS-3031",6,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2
"DISS-3031",7,2,1,2,2,2,2,4,4,4,1,1,1,1,1,1
"DISS-3032",1,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2
"DISS-3032",2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2
"DISS-3032",3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2
"DISS-3032",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISS-3032",5,3,2,3,2,2,2,4,4,3,2,2,2,2,2,2
"DISS-3032",6,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2
"DISS-3032",7,3,2,2,3,3,2,3,2,2,1,1,1,1,2,1
"DISS-3033",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISS-3033",2,4,1,1,4,4,2,4,4,4,1,1,1,1,1,1
"DISS-3033",3,2,2,1,3,3,3,7,6,6,2,2,1,1,2,2
"DISS-3033",4,2,2,1,2,2,2,4,4,4,2,1,1,1,1,1
"DISS-3033",5,1,4,3,1,1,4,6,6,6,4,1,2,3,1,1
"DISS-3033",6,1,4,1,1,2,3,2,4,4,1,1,3,1,1,1
"DISS-3033",7,1,4,1,1,1,3,1,1,1,1,1,3,1,1,1
"DISS-3034",1,1,3,4,1,1,2,7,7,7,3,1,1,1,1,2
"DISS-3034",2,1,4,2,1,1,2,4,5,4,2,2,3,1,1,2
"DISS-3034",3,1,2,3,1,1,2,5,5,6,2,1,1,1,1,1
"DISS-3034",4,1,3,4,1,1,2,6,6,6,3,4,4,4,2,2
"DISS-3034",5,2,2,2,2,2,2,3,3,2,2,1,1,1,1,1
"DISS-3034",6,2,2,1,2,2,2,3,3,2,1,1,1,1,1,1
"DISS-3034",7,3,1,2,3,3,1,2,3,1,1,1,1,1,1,1
"DISS-3035",1,4,1,1,4,4,1,3,2,2,1,2,1,2,2,2
"DISS-3035",2,3,1,1,3,3,1,1,1,1,1,2,1,2,2,1
"DISS-3035",3,2,2,2,2,1,2,4,4,3,4,1,3,5,1,2
"DISS-3035",4,3,1,1,2,2,1,5,3,5,3,1,1,2,1,1
"DISS-3035",5,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1
"DISS-3035",6,2,1,1,2,1,2,2,2,2,2,2,3,1,1,3
"DISS-3035",7,3,1,1,3,4,2,2,1,1,1,1,2,1,1,1
"DISS-3036",1,3,1,2,3,3,2,5,5,4,2,1,2,2,2,2
"DISS-3036",2,2,2,2,3,2,2,5,5,5,2,2,2,2,2,2
"DISS-3036",3,3,1,1,3,3,1,1,1,1,1,1,1,2,2,2
"DISS-3036",4,2,3,4,1,1,4,6,7,7,4,4,4,5,4,4
"DISS-3036",5,3,1,1,3,3,2,1,1,1,1,1,1,1,1,1
"DISS-3036",6,1,3,2,1,1,1,1,1,4,3,4,4,4,4,4
"DISS-3036",7,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1
"DISS-3037",1,1,4,3,1,2,4,7,7,7,5,5,5,5,5,5
"DISS-3037",2,1,2,1,1,2,3,4,4,4,4,4,4,3,4,4
"DISS-3037",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISS-3037",4,1,2,1,1,2,2,4,4,4,1,1,1,1,1,1
"DISS-3037",5,1,3,2,1,1,4,4,4,4,3,2,2,3,2,2
"DISS-3037",6,1,2,2,1,1,4,4,4,4,2,2,2,2,2,2
"DISS-3037",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISS-3038",1,2,1,3,2,1,3,6,6,6,3,3,4,4,4,4
"DISS-3038",2,2,1,1,2,2,1,3,3,2,2,2,2,2,1,1
"DISS-3038",3,1,1,3,1,1,1,7,6,4,4,5,5,4,4,4
"DISS-3038",4,1,1,2,1,1,1,4,4,4,2,2,2,2,2,2
"DISS-3038",5,1,1,2,1,1,1,5,4,4,2,2,2,2,2,2
"DISS-3038",6,1,1,2,1,1,1,1,1,1,2,3,2,2,2,3
"DISS-3038",7,1,1,3,1,1,1,4,2,2,3,2,2,2,1,2
"DISS-3039",1,2,1,2,2,1,1,4,2,2,2,1,2,2,1,2
"DISS-3039",2,2,1,2,2,2,1,6,5,6,2,1,3,3,1,4
"DISS-3039",3,2,3,4,2,1,3,6,2,2,2,2,3,2,2,2
"DISS-3039",4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"DISS-3039",5,1,2,2,2,1,2,5,5,2,2,1,2,2,2,2
"DISS-3039",6,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2
"DISS-3039",7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"DISS-3040",1,2,1,1,2,3,1,2,4,2,1,1,1,1,1,1
"DISS-3040",2,2,1,1,1,2,1,5,5,5,1,1,1,1,1,1
"DISS-3040",3,3,1,1,3,3,2,3,4,5,2,1,1,1,1,1
"DISS-3040",4,3,1,1,2,3,1,4,4,2,1,1,1,1,1,1
"DISS-3040",5,2,2,1,2,2,1,2,4,4,2,1,1,2,1,1
"DISS-3040",6,2,1,2,2,2,1,4,4,4,3,2,2,3,1,2
"DISS-3040",7,2,2,2,2,2,2,4,4,4,3,1,2,2,1,1
"DISS-3041",1,4,1,1,4,4,1,3,5,3,2,1,1,1,1,1
"DISS-3041",2,4,2,1,4,2,2,2,3,2,2,1,1,1,1,1
"DISS-3041",3,4,1,1,4,3,1,2,3,2,2,1,2,2,1,1
"DISS-3041",4,2,1,1,3,3,1,2,3,3,2,1,1,1,1,1
"DISS-3041",5,3,1,2,3,3,1,1,1,1,2,1,1,2,1,1
"DISS-3041",6,4,1,2,4,3,2,4,4,2,2,1,1,2,1,1
"DISS-3041",7,4,1,1,3,2,1,1,2,1,2,1,1,1,1,1
"DISS-3042",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISS-3042",2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2
"DISS-3042",3,2,2,2,3,2,1,5,5,5,1,1,1,1,1,1
"DISS-3042",4,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2
"DISS-3042",5,2,2,2,2,2,2,4,4,4,3,3,3,3,3,3
"DISS-3042",6,2,2,2,2,2,2,3,3,3,1,1,1,1,1,1
"DISS-3042",7,2,2,2,2,2,2,5,5,5,2,2,2,2,2,2
"DISS-3043",1,4,1,1,3,3,1,3,4,3,1,1,1,1,1,3
"DISS-3043",2,1,3,2,3,2,2,3,4,4,4,3,4,4,5,5
"DISS-3043",3,1,1,1,2,3,3,3,4,3,3,3,2,3,2,3
"DISS-3043",4,2,3,2,3,2,3,3,3,3,1,1,1,1,2,2
"DISS-3043",5,3,2,2,2,3,2,4,3,3,3,2,3,2,3,3
"DISS-3043",6,2,3,2,2,2,1,3,3,3,2,3,3,3,4,3
"DISS-3043",7,2,3,2,2,2,2,3,3,2,2,2,1,1,1,2
"DISS-3044",1,2,3,3,2,2,3,6,6,6,1,1,1,1,1,1
"DISS-3044",2,2,2,2,2,2,3,5,2,2,1,1,4,2,1,1
"DISS-3044",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISS-3044",4,2,3,2,1,3,3,4,4,4,3,3,4,4,3,3
"DISS-3044",5,2,2,2,2,2,2,4,2,2,2,2,2,2,1,1
"DISS-3044",6,2,1,2,1,3,2,4,2,2,2,2,2,2,1,1
"DISS-3044",7,3,1,1,4,4,2,3,1,1,1,1,1,2,1,1
"DISS-3045",1,2,1,1,2,3,1,5,6,6,3,1,1,1,1,1
"DISS-3045",2,2,3,2,2,3,1,6,2,4,1,1,1,1,1,1
"DISS-3045",3,4,1,1,4,3,1,6,5,5,1,1,1,1,1,1
"DISS-3045",4,4,1,1,4,4,1,3,3,3,1,1,1,1,1,1
"DISS-3045",5,3,2,2,2,2,1,4,4,4,1,1,1,1,1,1
"DISS-3045",6,3,1,1,3,3,1,3,3,4,1,1,1,1,1,1
"DISS-3045",7,2,1,1,2,3,1,3,5,4,1,1,1,1,1,1
"DISS-3046",1,4,1,1,4,2,1,1,1,1,2,1,1,1,1,1
"DISS-3046",2,3,1,1,2,3,1,3,1,2,1,2,3,3,1,1
"DISS-3046",3,3,1,1,3,3,1,1,2,1,1,1,1,1,1,1
"DISS-3046",4,1,2,1,2,1,1,4,2,2,1,1,1,1,1,1
"DISS-3046",5,2,1,1,2,2,1,2,2,2,1,1,1,1,1,1
"DISS-3046",6,3,2,4,2,1,2,7,1,7,5,2,5,1,1,1
"DISS-3046",7,3,1,2,3,3,1,4,2,1,2,2,3,1,1,1
"DISS-3047",1,2,2,2,2,2,2,1,1,1,2,2,2,3,2,3
"DISS-3047",2,3,2,2,2,2,2,5,5,5,2,3,3,2,2,2
"DISS-3047",3,2,2,1,2,3,3,4,5,4,3,2,3,2,3,2
"DISS-3047",4,2,1,1,2,2,2,3,3,3,2,2,2,2,2,2
"DISS-3047",5,2,1,2,2,2,1,3,5,4,3,1,1,2,2,2
"DISS-3047",6,1,2,2,2,2,1,3,1,3,2,2,3,2,2,2
"DISS-3047",7,2,1,2,2,2,2,4,3,4,3,2,2,1,2,2
"DISS-3048",1,3,1,1,3,2,1,5,4,1,1,1,1,1,1,1
"DISS-3048",2,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1
"DISS-3048",3,1,2,2,2,1,1,3,3,3,3,1,1,1,1,1
"DISS-3048",4,1,3,3,1,1,2,4,4,4,3,3,3,3,3,3
"DISS-3048",5,1,3,3,1,1,2,7,7,7,3,3,3,2,2,2
"DISS-3048",6,3,2,2,3,3,2,5,5,5,2,2,2,2,2,2
"DISS-3048",7,4,1,1,4,3,1,1,1,1,1,1,1,1,1,1
"DISS-3049",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISS-3049",2,1,4,4,1,1,3,6,4,5,5,4,5,3,3,4
"DISS-3049",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
