"id","sex","condition","alertness"
"173","male","coffee",5.38
"174","male","coffee",4.59
"175","female","tea",4.57
"176","male","tea",4.45
"177","male","water",3.48
"178","male","water",2.56
"179","male","tea",3.72
"180","female","coffee",4.93
"181","male","water",2.93
"182","male","tea",4.37
"183","male","water",3.24
"184","male","water",2.08
"185","female","water",3.37
"186","female","tea",4.77
"187","female","tea",5.46
"188","female","coffee",3.5
"189","female","tea",3.77
"190","male","coffee",3.92
"191","male","water",1.77
"192","male","tea",5.11
"193","female","water",2.55
"194","male","coffee",4.92
"195","male","tea",4.8
"196","male","tea",3.45
"197","female","coffee",4
"198","female","tea",2.95
"199","female","tea",3.32
"200","male","coffee",4.39
"201","male","tea",5.96
"202","female","tea",4.88
"203","male","coffee",5.08
"204","female","tea",4.31
"205","male","tea",3.93
"206","female","coffee",4.96
"207","female","coffee",4.91
"208","female","coffee",5.96
"209","male","tea",4.72
"210","male","coffee",5.91
"211","male","water",3.5
"212","male","water",4.07
"213","female","water",3.6
"214","male","coffee",5.53
"215","female","coffee",4.55
"216","male","coffee",3.93
"217","female","water",3.73
"218","female","water",2.25
"219","male","tea",5.05
"220","female","coffee",4.84
"221","female","tea",3.35
"222","female","tea",3.44
"223","female","coffee",3.89
"224","female","water",3.5
"225","female","water",4.86
"226","female","water",5.1
"227","female","coffee",4.77
"228","male","tea",4.21
"229","male","tea",4.66
"230","female","coffee",4.7
"231","male","tea",1.96
"232","female","tea",4.12
"233","male","coffee",4.98
"234","male","tea",3.48
"235","female","water",3.02
"236","male","coffee",4.41
"237","female","water",2.42
"238","male","coffee",5.51
"239","male","water",2.91
"240","male","coffee",5.06
"241","male","water",2.9
"242","male","coffee",4.54
"243","male","water",4.04
"244","male","coffee",4.58
"245","female","tea",3.9
"246","female","coffee",4.28
"247","male","tea",4.51
"248","male","water",3.95
"249","male","water",3.2
"250","male","water",4.27
"251","female","coffee",4.41
"252","male","coffee",4.45
"253","male","tea",3.47
"254","male","tea",3.79
"255","female","water",4.52
"256","male","water",3.07
"257","female","tea",3.45
"258","male","tea",1
"259","female","water",2.99
"260","male","tea",3.37
"261","male","tea",4.58
"262","male","tea",4.73
"263","female","coffee",5.83
"264","female","coffee",3.57
"265","female","coffee",5.36
"266","female","coffee",4.8
"267","male","tea",3.7
"268","male","coffee",4.75
"269","female","coffee",3.95
"270","male","coffee",4.17
"271","female","water",2.89
"272","female","tea",2.17
"273","male","coffee",4.15
"274","female","coffee",3.75
"275","male","water",3.76
"276","female","water",3.45
"277","male","coffee",4.89
"278","female","water",4.45
"279","male","water",3.01
"280","male","water",4.54
"281","female","tea",4.99
"282","female","tea",4.04
"283","female","coffee",4.88
"284","female","coffee",3.1
"285","female","coffee",3.52
"286","female","water",3.04
"287","male","tea",3.98
"288","female","tea",4.07
"289","female","water",1.87
"290","female","coffee",5.35
"291","female","water",2.17
"292","female","coffee",3.52
"293","female","tea",3.89
"294","female","water",2.07
"295","female","water",2.17
"296","male","water",2.49
"297","female","water",2.91
"298","female","tea",4.66
"299","female","coffee",5.61
"300","female","coffee",5
