"PID","X1","X2","M1","M2","Y1","Y2"
289,-1,0,0,-1,0,-1
290,1,1,0,1,1,1
291,3,2,2,0,3,2
292,-2,-2,0,-1,1,-1
293,1,-1,1,-2,2,2
294,0,-2,0,-2,-3,2
295,0,0,0,0,-3,-1
296,-1,-1,0,0,0,0
297,-1,0,0,-1,1,-1
298,-2,0,0,0,0,0
299,1,-1,1,-1,2,1
300,-1,0,0,-1,-2,-3
301,0,2,0,1,0,1
302,2,1,1,1,1,2
303,2,1,1,0,1,3
304,-1,0,0,0,2,-2
305,-1,-2,0,-1,0,2
306,-1,-2,0,0,3,-2
307,1,-1,1,0,2,2
308,1,0,1,1,0,2
309,-2,-1,-1,0,-1,-3
310,-1,-3,0,-1,-1,-2
311,0,-2,1,-1,-1,-2
312,0,-2,0,-1,-3,1
313,-2,0,0,-1,-1,-1
314,0,1,0,2,2,1
315,4,1,2,-1,3,0
316,1,-1,0,0,0,0
317,0,0,0,-1,1,-2
318,-2,0,-1,-1,-1,-1
319,-1,-3,0,-2,0,-1
320,1,0,1,-1,1,1
321,1,1,0,0,0,2
322,0,-2,0,-2,1,-1
323,-1,-2,0,-1,0,0
324,2,1,1,2,-1,2
325,2,0,1,0,2,1
326,0,1,1,-1,3,-3
327,2,-2,2,-1,3,1
328,-3,-2,-1,-1,1,1
329,0,-1,0,1,1,0
330,1,0,0,0,1,1
331,3,2,2,0,2,2
332,2,1,1,-1,-1,-1
333,0,1,0,0,-1,1
334,0,0,1,0,0,-2
335,2,0,1,-1,0,-1
336,3,-1,1,-1,0,3
337,1,0,0,0,0,0
338,-1,0,0,0,-1,0
339,-2,-2,0,-1,2,1
340,2,-2,1,-1,1,1
341,-1,1,0,0,0,-1
342,3,-1,2,0,3,1
343,0,-1,0,-1,0,1
344,0,0,0,0,1,1
345,2,1,1,1,2,0
346,1,0,1,1,2,0
347,1,0,1,1,2,0
348,-2,1,0,1,1,1
349,0,-1,0,-1,0,0
350,1,0,1,0,-1,0
351,2,1,1,1,-2,2
352,0,1,0,1,-1,-1
353,-4,-2,-1,-2,-4,-2
354,0,-1,0,0,0,-2
355,0,1,0,-1,0,0
356,-1,0,0,0,0,-2
357,0,2,0,0,2,-4
358,0,0,0,-1,2,2
359,-1,-1,0,0,1,1
360,2,1,1,0,1,0
361,2,1,1,0,2,3
362,0,1,0,1,0,-1
363,1,1,1,-2,-1,3
364,1,0,1,0,3,0
365,0,-3,0,-1,2,1
366,0,-1,0,1,2,0
367,-3,-2,-1,-1,-2,-1
368,0,-2,0,-2,1,-4
369,1,2,0,2,1,-1
370,0,-3,1,-1,-2,0
371,1,-1,0,-1,0,-3
372,-1,-2,0,-1,0,0
373,-1,-1,0,-1,0,0
374,1,2,1,0,0,-2
375,1,-1,1,0,3,0
376,2,1,1,0,4,1
377,0,-1,0,-1,1,2
378,0,-2,1,-1,-1,0
379,-1,-1,0,-1,-2,-1
380,-1,-1,0,0,-2,-1
381,0,-1,0,-1,-1,0
382,-1,-1,0,0,-3,1
383,-1,-2,0,0,0,1
384,2,0,1,0,-1,0
385,3,0,1,-1,1,0
386,0,-1,1,0,1,-1
387,5,2,2,1,3,-1
388,-1,0,0,0,1,0
389,1,0,1,0,2,2
390,4,4,2,0,2,2
391,1,1,0,0,1,-1
392,2,-1,1,0,-1,1
393,-2,-2,0,0,-1,-2
394,0,1,0,1,0,0
395,-2,-2,-1,-2,0,-2
396,-2,-2,0,-1,-1,0
397,1,0,1,0,1,2
398,-1,0,0,1,-2,-1
399,0,0,0,0,1,1
400,-2,-2,-1,0,-3,0
401,-2,-1,0,0,0,1
402,1,0,1,0,1,2
403,0,-1,0,1,2,0
404,3,1,1,1,3,1
405,-3,-1,-1,0,0,0
406,1,-2,0,-1,-2,2
407,2,2,2,0,4,0
408,1,-1,1,-1,0,0
409,1,1,1,-1,4,2
410,1,0,0,0,0,1
411,0,0,0,0,-1,-1
412,0,2,1,2,1,1
413,-2,-3,0,0,-1,0
414,2,0,1,-1,3,3
415,0,-2,0,0,0,0
416,2,1,1,-1,0,-2
417,2,2,2,1,2,1
418,1,0,0,0,0,2
419,3,1,2,-1,3,0
420,1,0,0,1,1,-1
421,1,-2,0,-2,0,2
422,1,0,1,-2,1,0
423,-1,0,0,-1,0,0
424,1,1,1,-1,-1,0
425,-1,-2,0,-1,-1,-3
426,0,1,0,1,0,2
427,2,2,1,0,4,1
428,-1,-2,0,-2,1,1
429,1,0,1,0,2,2
430,0,-2,0,-1,1,1
431,0,-1,0,0,1,1
432,-2,-3,0,-1,-2,-3
433,-2,-2,-1,-1,0,0
434,0,1,0,0,-1,3
435,1,-2,0,0,-1,1
436,2,2,1,2,2,0
437,-2,-1,-1,-1,1,0
438,-3,-4,-1,-1,-2,1
439,-1,0,0,0,1,2
440,3,3,1,2,1,2
441,3,1,2,1,-1,1
442,3,1,1,1,0,1
443,1,0,1,0,0,0
444,0,1,0,1,2,2
445,1,-1,0,0,0,1
446,0,-2,0,-2,0,2
447,0,-2,0,-2,-3,2
448,-2,0,0,1,1,-1
449,-1,-3,0,-2,-1,0
450,0,-1,1,0,1,0
451,1,0,1,0,1,0
452,0,-1,0,-1,0,-4
453,-1,-2,0,-1,-1,-1
454,-1,-2,0,-2,2,0
455,-2,-3,-1,-1,-1,1
456,2,2,1,-2,1,-2
457,-1,-2,0,0,2,-2
458,0,0,0,0,-1,1
459,-1,0,0,0,-2,1
460,1,2,1,0,-2,1
461,2,3,1,2,1,0
462,-4,-2,-2,0,-3,0
463,4,1,2,-1,2,-1
464,-2,0,-1,0,-1,-1
465,-1,-1,0,0,2,1
466,3,1,2,-1,3,0
467,-3,-2,-1,-1,-2,0
468,2,1,1,-1,3,-1
469,0,2,0,-1,0,0
470,0,-1,0,1,1,-2
471,3,0,2,0,3,2
472,-1,0,0,0,0,-2
473,-1,0,0,0,-3,2
474,-2,1,-1,-1,-2,-2
475,0,1,0,0,2,-1
476,0,-1,0,0,0,2
477,2,1,1,1,3,4
478,2,-2,0,-2,1,0
479,-1,-1,0,1,0,1
480,-2,-3,0,0,-4,-2
481,0,0,0,1,1,0
482,0,-1,0,1,-1,0
483,0,-2,0,0,0,3
484,2,0,1,0,1,3
485,1,1,0,-1,3,3
486,0,1,0,1,-2,2
487,2,1,1,0,-2,0
488,-1,-2,0,-2,0,-2
489,1,-1,1,0,2,0
490,1,1,0,0,0,2
491,-2,-3,0,0,-1,-2
492,2,0,1,-1,3,4
493,1,0,1,-1,-2,0
494,0,-1,0,0,-1,-1
495,0,0,0,-1,1,0
496,-1,-1,0,-2,0,0
497,-1,-2,0,-2,1,2
498,0,1,0,0,-1,1
499,-1,-1,0,-1,-3,0
500,1,-1,0,0,2,2
