"PID","i1","i2","i3","i4","i5","i6","i7","i8"
93,-1,2,-2,-2,-1,-2,-1,-1
94,-2,0,-1,0,0,1,-1,0
95,1,-1,1,1,-1,1,3,-1
96,-1,0,0,-1,-1,0,-1,-3
97,0,-2,0,3,3,1,5,3
98,0,1,-1,1,-1,-1,-1,-2
99,0,3,0,-3,2,2,5,5
100,0,4,0,-2,1,-1,-3,2
101,1,2,-1,3,0,0,-3,-2
102,0,2,-1,2,-3,-2,0,-3
103,1,-1,1,2,3,0,-5,-1
104,0,-3,0,0,-2,-1,3,-1
105,0,-2,0,2,-2,-1,3,-4
106,-1,0,-1,-4,-1,-1,-1,1
107,0,-2,1,2,0,0,2,0
108,1,0,3,-1,0,-1,-2,-2
109,0,4,2,3,1,0,3,2
110,0,1,1,-1,-2,-2,2,-4
111,0,-4,-1,1,-2,-1,1,1
112,0,0,0,-1,1,-1,1,-2
113,-1,-2,-1,-3,0,1,-2,2
114,1,3,2,2,-2,-1,3,-2
115,1,-2,0,1,-3,0,0,0
116,-1,2,-2,-1,-3,0,-1,3
117,-1,-1,-2,-2,-1,-1,0,-3
118,0,4,-1,-2,0,0,-3,5
119,0,-1,0,2,-4,0,-2,-2
120,0,0,1,0,-3,0,-2,1
121,-1,-3,-4,-1,1,0,6,-6
122,1,1,0,4,-1,0,4,-7
123,1,1,2,5,1,-1,1,4
124,-1,-1,-1,3,-3,0,-1,0
125,0,1,-1,-1,0,1,2,2
126,1,3,2,4,-1,0,-1,1
127,-1,-5,1,3,-1,0,1,0
128,0,-5,-1,-4,0,1,-3,-4
129,0,3,1,-1,-1,0,7,-1
130,0,-3,-1,0,3,0,4,1
131,0,1,-1,-2,0,1,0,3
132,0,0,-1,4,1,2,1,-2
133,0,-1,-1,2,1,0,-2,-6
134,-1,-5,-1,-7,0,1,-4,-2
135,-1,-3,-1,-5,0,-1,-1,-6
136,0,2,0,2,3,0,1,4
137,0,2,-1,1,-1,0,1,-2
138,-1,-4,-3,3,0,-1,2,-4
139,0,2,0,0,4,1,5,1
140,-1,0,-2,2,-1,0,0,0
141,0,-4,0,-4,0,0,2,2
142,0,0,2,-2,0,1,-1,2
143,-1,-1,-1,-1,-1,-1,-1,0
144,0,-1,-1,-2,-4,0,-3,-3
145,-1,-4,-2,-4,0,0,-2,0
146,0,1,0,-2,1,0,2,-3
147,-1,-2,-3,-4,4,0,-2,4
148,0,5,-1,-3,4,0,1,0
149,-1,-2,-1,-3,0,0,-1,2
150,1,1,0,3,3,0,1,1
151,-1,-4,-2,-4,-2,-1,-3,-4
152,1,0,3,4,1,1,3,1
153,0,0,2,1,2,0,2,5
154,0,2,2,2,2,0,1,0
155,-2,0,-3,-8,-1,0,-3,0
156,0,-1,-1,-5,2,0,1,-2
157,0,-1,0,1,0,0,-1,2
158,-1,-1,-1,2,-1,0,3,7
159,0,3,0,3,-1,0,6,3
160,0,2,0,0,1,1,1,0
161,0,1,1,3,0,-1,-4,-4
162,0,-2,2,1,4,1,4,6
163,0,-1,1,0,3,2,3,4
164,0,1,-1,2,-4,0,-2,0
165,0,2,-1,1,0,-1,3,-3
166,-1,-4,-2,-2,3,1,-1,5
167,1,2,1,0,1,0,-2,1
168,0,-2,-1,-1,-5,0,3,-1
169,0,6,1,-2,0,-1,0,-4
170,0,1,1,0,2,2,-2,6
171,0,-2,0,3,3,0,-1,2
172,-1,0,-1,-1,-1,0,-2,5
173,-1,-3,-2,-3,-1,1,-2,3
174,0,-1,1,1,1,0,2,-1
175,0,0,-1,2,-1,2,1,4
176,-1,0,-2,-1,-2,-2,5,-5
177,0,-3,-1,1,0,0,3,2
178,0,5,0,3,-1,0,2,-3
179,-1,0,-2,-4,-5,-2,1,-4
180,1,-3,2,1,1,0,0,0
181,-1,-5,-1,0,0,0,1,3
182,-1,0,0,-2,-5,0,4,1
183,0,0,1,3,0,0,1,1
184,0,0,-1,-1,0,0,-1,-1
185,0,1,0,2,0,-1,1,1
186,-1,-4,0,-5,1,0,0,5
187,0,3,2,1,3,0,2,5
188,1,1,2,4,-1,-1,2,0
189,0,-1,0,1,3,1,4,0
190,0,6,1,4,-2,-1,0,3
191,0,3,1,0,1,0,0,-1
192,-1,-1,-1,-1,0,1,1,2
193,-1,-1,-2,0,-1,0,0,0
194,1,0,2,1,-1,0,-1,-1
195,1,1,2,5,4,1,0,-2
196,-1,0,-3,-5,1,-1,-1,2
197,0,2,1,0,-1,0,-2,-1
198,0,2,2,-2,-3,-1,-5,2
199,0,-2,0,2,-3,0,1,-2
200,-1,1,-2,0,0,1,-5,-1
201,1,3,1,3,-4,0,1,-3
202,1,1,1,-1,1,1,-4,5
203,0,0,1,1,0,0,-6,-1
204,-1,-2,-1,2,3,1,-1,0
205,-1,-3,0,-1,0,1,2,3
206,-1,-5,-3,-1,0,-2,3,-3
207,0,-1,2,-5,0,0,3,0
208,1,2,1,4,-1,1,-4,-1
209,1,0,1,-1,0,0,2,-2
210,1,4,3,-1,2,1,1,0
211,1,2,2,4,1,0,1,3
212,-1,-2,-2,0,-1,0,-4,-1
213,0,-1,-2,-3,1,-1,-3,-6
214,0,1,1,0,-3,0,5,0
215,-1,-3,-3,0,0,-1,1,2
216,-1,2,-3,1,2,0,2,1
217,1,4,3,2,2,0,0,-4
218,1,0,1,-1,3,1,1,3
219,0,1,1,-1,-1,-1,-8,-4
220,1,5,0,0,1,1,4,0
221,-1,-1,-1,-2,0,0,5,-2
222,2,2,2,0,-1,-1,5,3
223,0,-4,0,-2,-2,-1,0,-3
224,0,0,2,0,2,1,5,1
225,0,-1,-1,-1,-2,0,2,0
226,-1,-4,-1,-3,-1,0,1,5
227,0,0,0,0,-3,0,3,-4
228,0,-1,2,1,-2,0,0,-4
229,1,3,3,3,-1,0,-4,3
230,-1,-2,-2,2,-2,0,2,1
231,0,0,2,6,1,0,2,2
232,0,0,-1,0,0,1,4,-1
233,-1,-2,0,-2,3,2,-4,0
234,0,-1,0,1,-3,-1,-3,-4
235,0,1,1,-3,-1,1,-1,-5
236,2,0,2,5,0,1,6,3
237,0,1,-1,-2,-2,0,-2,0
238,0,-1,1,1,-2,0,-3,-3
239,0,0,0,5,-5,-1,6,3
240,-1,-1,-4,-1,-3,1,-1,-2
241,-1,-5,-2,-2,1,1,0,-3
242,1,4,4,4,4,1,-1,-2
243,1,3,2,4,-1,0,3,-3
244,-2,-3,-2,-5,-4,-2,2,-3
245,-1,-4,-2,-1,-5,-2,-5,-6
246,1,1,1,5,2,1,2,8
247,-1,0,-2,-3,1,0,2,2
248,0,0,2,3,-2,-1,-1,2
249,1,-3,1,4,-1,-3,-2,2
250,-1,1,-3,-3,-2,-1,-8,-5
251,0,3,-1,2,-2,0,0,-1
252,-1,-6,0,-1,-3,0,0,-3
253,1,-1,2,2,-2,0,3,1
254,-1,-2,-1,-3,-1,0,-3,3
255,-1,0,-1,-4,4,2,0,5
256,1,3,3,-2,-2,0,-2,0
257,1,-2,1,0,1,1,0,4
258,0,-1,0,4,-1,0,3,0
259,0,2,0,-1,1,-1,-4,-3
260,0,1,1,-2,1,0,-2,0
261,1,2,2,0,3,-1,-3,2
262,-1,-2,-2,-5,2,0,-4,7
263,1,4,2,-2,2,2,5,4
264,0,0,1,3,2,1,-1,6
265,2,7,3,2,2,1,2,3
266,-1,-3,0,1,2,0,-3,1
267,0,-2,0,0,1,0,4,-3
268,-1,-2,-2,-4,-1,-1,-7,-1
269,-1,-3,-1,-3,-2,0,0,-1
270,0,-1,0,-2,0,0,-1,1
271,0,-1,-1,-2,3,1,3,-2
272,0,-2,1,1,2,-1,-3,0
273,0,-1,1,3,-1,-1,2,-5
274,0,5,0,0,0,-1,-3,-3
275,-1,1,0,-5,2,1,-2,0
276,0,1,2,5,1,0,3,3
277,0,6,2,4,1,0,4,6
278,-1,2,0,0,-1,1,0,1
279,0,2,1,-1,-3,-1,-2,-3
280,0,0,0,4,-1,1,-1,0
281,0,1,1,2,1,0,-1,2
282,0,2,1,-1,0,-1,-5,-2
283,1,-1,3,-1,0,0,0,-1
284,1,0,1,-2,0,0,0,-3
285,0,0,0,2,0,2,-1,2
286,0,0,-1,3,0,1,-2,4
287,-1,-1,-2,1,0,1,4,1
288,0,4,1,2,-4,0,-2,0
289,0,3,-2,-1,-1,1,5,0
290,0,-1,3,1,0,0,0,1
291,2,3,2,7,1,1,2,4
292,-1,-2,-2,-2,-1,0,1,-5
293,1,1,1,-1,-2,-1,2,-1
294,0,-1,-1,1,0,0,2,-4
295,-1,1,1,-2,0,0,1,1
296,0,0,-2,-3,-1,0,2,3
297,0,0,-1,-3,-1,-1,4,3
298,-1,-1,-1,-2,-1,1,1,-3
299,1,-2,0,5,-2,1,4,-1
300,-1,0,0,2,1,0,1,-3
301,0,0,-1,-3,0,2,-1,5
302,1,0,1,2,-3,1,2,2
303,1,-2,1,6,2,0,-4,-1
304,-1,-3,-2,2,2,1,2,5
305,-1,-3,-1,1,1,-1,-4,-5
306,0,2,-1,0,-2,0,-2,1
307,1,3,1,4,1,-1,1,-3
308,0,2,1,3,0,1,-1,5
309,-1,-2,-1,-3,-4,0,-5,2
310,0,-1,0,-3,-1,-2,-2,-6
311,0,-1,2,0,-3,0,-3,-2
312,0,-1,0,-3,3,-2,2,1
313,-1,1,-3,-1,2,0,-3,1
314,0,1,1,0,3,1,-3,4
315,2,3,3,-1,4,0,-2,-2
316,0,0,-1,-2,-1,-2,3,0
317,0,-1,-2,0,-1,0,2,0
318,-1,1,-1,0,-2,0,-2,-1
319,0,-1,1,0,-1,-1,-6,2
320,1,-1,1,-2,-1,-1,1,-2
321,0,1,1,-1,3,1,-3,2
322,0,1,-1,6,-2,0,-2,-3
323,0,2,1,2,-2,0,-3,0
324,1,-1,1,2,2,1,-1,-4
325,0,2,0,1,-1,1,1,2
326,-1,-1,0,-1,5,1,2,0
327,1,1,2,4,-2,-1,-1,-2
328,-2,-5,-4,-3,-1,-1,-5,1
329,1,-3,-1,-1,-2,-1,1,-1
330,0,0,0,0,1,0,-1,-2
331,2,1,1,3,3,1,4,5
332,1,1,2,4,-1,2,-5,-1
333,0,-1,0,-5,2,1,0,4
334,0,4,-1,4,1,1,6,-1
335,1,5,3,2,-1,0,2,4
336,2,1,3,4,1,-1,-3,-2
337,0,5,1,2,0,0,-2,1
338,-1,-3,-1,-3,2,1,-3,-2
339,-1,1,-2,-5,0,-1,-4,-5
340,1,2,2,0,-1,-2,-1,0
341,-1,-3,-2,-1,3,1,2,4
342,2,1,4,5,-1,0,2,1
343,0,2,0,-3,2,0,3,3
344,-1,1,0,-1,-1,0,1,-2
345,1,-1,1,-2,3,1,1,1
346,0,3,2,2,-1,0,1,-4
347,1,2,0,0,1,0,2,-3
348,-1,-3,-3,-4,3,0,-2,-4
349,0,-5,-1,0,-1,-1,-3,-1
350,0,0,-1,3,0,0,-3,4
351,1,1,2,-2,-1,1,3,0
352,-1,-2,1,-2,3,2,3,2
353,-2,0,-4,0,0,-1,-5,-2
354,0,0,0,1,-1,0,2,-3
355,0,0,-1,5,1,1,-3,2
356,-1,-1,-2,-4,3,1,1,4
357,0,3,-1,0,2,1,4,4
358,0,1,-1,-3,-2,-1,-2,4
359,-1,0,-1,1,1,0,1,-5
360,1,-2,2,4,1,0,0,1
361,1,2,1,2,0,1,2,2
362,0,1,0,3,1,1,2,6
363,0,0,1,3,-1,1,3,4
364,0,5,0,-2,-1,0,-1,1
365,0,1,0,-3,-3,-1,-3,-5
366,0,-2,1,2,0,0,-5,2
367,-2,-1,-3,-8,-5,0,-1,0
368,0,0,0,0,0,-2,-2,-3
369,0,0,1,0,2,1,0,-1
370,0,1,1,0,-4,-1,-3,-1
371,0,1,0,-2,-1,-1,-2,-3
372,-1,-1,-1,0,-2,-1,-4,-9
373,-1,0,0,0,-2,-1,-2,-1
374,0,0,-1,1,2,0,0,2
375,1,2,0,1,2,0,0,-1
376,0,5,2,2,-1,1,4,-3
377,0,0,1,1,0,0,-2,-5
378,1,0,-1,-2,-1,-1,-7,-4
379,-1,0,-1,1,-4,-1,-1,0
380,-1,-1,1,1,-2,1,-3,-1
381,0,-1,0,0,1,1,1,0
382,-1,1,-1,-1,-1,0,0,0
383,0,3,0,0,-4,-1,0,-2
384,1,3,3,4,2,0,3,0
385,1,3,2,1,-1,0,-1,1
386,-1,-3,0,1,-1,-1,-6,1
387,2,3,4,6,1,1,-1,-5
388,-1,-4,-1,-6,2,0,1,-1
389,0,1,-1,-1,1,0,0,0
390,2,0,4,0,3,2,-3,7
391,0,3,1,3,2,1,-2,1
392,1,2,2,-1,1,-1,-2,-3
393,-1,-2,0,-3,-1,-1,1,-1
394,-1,3,1,0,3,0,7,4
395,-1,-2,-1,1,-1,-1,2,2
396,-2,-4,-2,-1,0,-2,5,-1
397,1,1,0,1,0,0,-1,5
398,-1,0,-4,-4,2,0,-2,-1
399,0,-3,-1,0,0,0,0,0
400,-1,-4,-3,-2,-3,-1,1,-3
401,-1,1,-1,-7,0,0,4,-2
402,0,0,0,3,0,1,-5,4
403,0,3,-2,0,-1,-1,-2,-6
404,1,4,2,1,0,0,-4,2
405,-1,-2,-2,-3,-1,1,3,2
406,0,0,0,-1,-3,-2,4,-4
407,1,0,1,6,1,1,4,1
408,0,1,1,1,-3,-1,0,0
409,0,1,0,3,-2,0,-4,-2
410,0,2,2,3,-2,0,-1,-2
411,-1,1,-1,-2,1,1,-3,4
412,-1,2,0,-2,2,2,5,1
413,-1,0,-2,-1,-2,-1,-5,-3
414,1,-1,1,1,0,0,2,-2
415,0,-1,-1,2,2,-1,-2,-4
416,1,3,2,1,0,1,-3,3
417,1,0,1,3,3,1,-1,2
418,0,2,-1,0,0,0,6,4
419,2,2,3,2,0,1,5,-1
420,0,3,1,1,-2,1,-5,-8
421,1,1,2,3,-2,0,-4,-5
422,0,0,0,-2,1,0,-2,4
423,-1,-2,-2,-1,-2,0,3,-1
424,0,-2,2,0,0,1,0,6
425,-1,-1,-3,0,-2,0,-2,-3
426,0,0,-1,0,2,0,2,5
427,1,5,2,2,0,1,-1,-1
428,0,-3,-2,2,-2,-1,0,1
429,0,-1,1,1,0,0,1,-1
430,-1,-6,1,1,-1,0,-1,-2
431,0,3,1,1,1,-1,4,1
432,-1,-1,-4,-1,-1,-1,-3,-6
433,-1,-2,-3,-2,-1,-1,-1,0
434,0,4,0,2,2,0,-2,2
435,1,3,0,2,-2,-2,-2,-2
436,1,3,2,2,3,1,-3,4
437,-1,-3,-2,-3,0,0,0,-2
438,-1,0,-3,0,-2,-1,2,2
439,0,-3,-1,0,3,-1,-3,4
440,1,2,0,1,3,1,-1,-4
441,1,5,2,3,-1,0,0,0
442,1,4,1,1,0,1,-4,0
443,0,-5,2,0,0,1,-1,1
444,0,-1,-1,-6,1,0,0,0
445,0,2,0,-1,0,0,-3,2
446,0,-1,0,1,0,-1,-1,-1
447,0,1,0,5,0,-1,2,3
448,-1,0,-1,-6,2,1,1,1
449,-1,0,-1,-1,-3,-1,-2,-2
450,0,0,0,-1,-1,-2,-1,0
451,0,-2,2,0,1,0,-5,2
452,0,1,0,1,-2,0,-2,1
453,0,-3,-1,-3,1,-1,0,-2
454,0,-2,0,-3,-4,1,0,0
455,0,1,-2,-1,-3,-1,-3,-4
456,1,3,2,-1,4,1,5,9
457,0,0,0,-4,0,-1,2,-4
458,-1,1,0,-2,0,0,0,0
459,-1,-2,-1,-3,-3,0,-4,1
460,0,-1,-2,-3,0,1,-1,1
461,1,4,2,-1,3,2,3,4
462,-3,-8,-5,-4,-1,-1,0,-4
463,2,-1,2,1,-1,0,1,-1
464,-1,-2,-2,1,-2,-1,4,1
465,0,-2,-2,-6,-2,0,0,0
466,1,3,3,1,2,1,-2,3
467,-2,-4,-3,-3,-4,-1,2,-4
468,1,4,2,-1,1,1,-2,2
469,0,-3,-1,-1,3,2,2,1
470,0,0,0,-2,-4,0,-2,-2
471,1,5,0,4,0,0,0,5
472,0,-2,0,0,1,1,1,-1
473,-1,-4,-2,1,-2,1,0,-1
474,-1,1,-3,-2,0,0,-2,5
475,0,0,-1,4,0,1,4,0
476,0,-1,-1,2,-1,-1,-2,-1
477,0,-1,2,2,0,0,2,-1
478,1,1,4,-1,-2,-1,2,-3
479,-1,2,0,-1,1,1,-5,-1
480,-1,-2,0,1,-2,-1,-5,-3
481,0,2,0,2,0,1,1,-3
482,0,-1,0,3,0,0,2,2
483,1,3,1,5,0,0,-3,-2
484,1,1,2,0,-1,0,0,-5
485,1,3,0,-4,2,0,1,-2
486,0,-2,-1,1,1,0,-3,-2
487,1,3,1,5,0,0,2,5
488,0,1,-2,2,-3,0,-5,-1
489,0,6,2,1,-3,-1,2,-4
490,0,2,1,1,3,0,4,5
491,-1,-5,-2,-1,-1,-2,-5,-3
492,2,2,2,4,-2,-1,-3,-1
493,0,1,1,2,-2,1,2,-2
494,0,-1,0,-2,1,1,1,-3
495,0,-1,-2,-2,-2,1,0,1
496,-1,1,-2,-1,2,0,-3,-3
497,-1,-2,-2,-3,2,-1,-1,-2
498,0,-2,-1,0,3,1,0,0
499,-1,2,-1,0,-2,-1,0,-1
500,0,0,0,0,-3,-1,3,2
